"Table 2. State energy-related carbon dioxide emissions by year, adjusted (1990–2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
million metric tons of energy related carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Percent,Absolute,Percent,Absolute
Alabama,109.7,114,121,125.2,123.2,131,136.9,133.5,133.3,136,141.8,133.5,138.5,139.3,141.9,143.4,145.8,147.4,139.8,119.9,132.4,129.4,122.8,120.2,122.5,119.4,114.3,108.3,-0.012,-1.4,-0.052,-5.9
Alaska,34.4,35,36.6,36.3,36.2,40.7,41.7,41.6,42.9,43.5,44.1,43.3,43.4,43.4,46.6,47.9,45.7,44,39.5,37.7,38.6,38.5,38,35.8,35,35.9,34.6,34.1,-0.01,-0.4,-0.014,-0.5
Arizona,62.7,63.6,66.6,68.6,71.4,66.3,68.1,71,76.2,80.2,85.7,88.3,87.6,89.4,96.6,96.5,99.8,101.7,102.2,93.1,95,93,91.1,94.6,92.7,90.4,86.5,85.6,0.365,22.9,-0.011,-0.9
Arkansas,50.8,49.7,51.4,50.4,54.2,57.6,60.2,59,60.7,63,63.3,62.6,61.2,61.8,62.3,60,61.9,63.2,64.1,61.3,65.6,66.9,65.8,68,68.7,58.9,62,63.9,0.258,13.1,0.03,1.9
California,356.6,344.1,349.4,337.9,353.9,342.8,341.4,343.1,354.9,358.9,374.1,379.5,377.6,366.3,384.9,381.5,390.4,395.3,379.9,365.8,360.1,345.7,350.9,352.5,349.9,357.5,357.3,358.6,0.006,2,0.004,1.3
Colorado,65.8,67.1,68.3,71.8,72.2,72.3,75.1,75.1,77.7,79.6,84.5,92.8,90.9,90.2,93.2,95.3,96.4,99,97.2,92.8,95.2,91.4,90.5,90.8,91.4,90.1,86.7,87,0.322,21.2,0.004,0.3
Connecticut,40.6,39.8,40.2,38.1,37.4,36.7,39.4,42.3,40.2,41.4,42.6,41.5,39.9,42.5,44.4,43.8,40.8,40,37.5,35.7,36,34.5,33.9,34.5,34.8,36.1,33.9,33.4,-0.178,-7.2,-0.016,-0.5
Delaware,16.6,17.4,16.3,17.7,17,16,16.6,15.2,14.9,15.1,15.9,15.4,15.2,15.7,16,16.7,15.7,16.5,15.6,11.9,11.2,12.2,13.3,13,12.6,12.7,13.2,12.3,-0.262,-4.4,-0.069,-0.9
District of Columbia,4.4,4.4,4.4,4.5,4.5,4.4,4.4,4.2,4.1,4.1,4.3,4.1,4.2,3.9,4,3.9,3.2,3.4,3.1,3.2,3.2,3.1,2.6,2.8,3,3,2.8,2.6,-0.41,-1.8,-0.049,-0.1
Florida,187.8,188.9,191.8,194.3,201.7,206.9,212.4,217,230.8,230.6,238.4,237.8,241,245,256.7,259.7,258.4,256,238,223.2,240.9,227.6,221.7,220.1,226,230.3,228,226.5,0.206,38.7,-0.006,-1.5
Georgia,138.8,130.8,130.6,139.5,142.4,150.7,154.9,155.5,157.2,160,167.9,160.6,165.4,168.4,173.9,184.1,181.7,184.3,171.9,161.6,171,155.5,135.6,133.5,138.7,136,135.1,131.9,-0.05,-6.9,-0.024,-3.3
Hawaii,21.6,19.6,20.7,18.9,20.2,20.2,19.2,18.6,18.7,18.4,18.7,19.2,20.4,21.3,22.4,22.9,23.2,24,19.3,18.9,19,19.4,18.9,18.4,18.3,18.5,18.4,17.6,-0.184,-4,-0.043,-0.8
Idaho,11.3,12,11.3,12.4,12.5,13.3,13.9,13.7,14,14.9,15.6,15.5,14.9,14.3,15.6,15.7,15.7,16.2,15.5,15.1,15.9,15.7,15.6,17,16.5,17.8,18.2,18.4,0.634,7.2,0.015,0.3
Illinois,190.8,190.8,186.9,202.8,202.9,207.1,220.7,223.5,214.6,224.8,231.4,223.3,225.7,228.9,236.5,242.6,234.7,242.3,241,225.4,230.2,228.8,216.5,229.2,232.2,214.8,203,201.1,0.054,10.3,-0.009,-1.8
Indiana,204.1,200.6,197.6,201.8,201.4,206.8,211.2,214.8,216.5,222.8,236,226.3,229.4,235.3,235.1,233.8,231.7,231.4,227.3,204,216.1,208.6,194.3,199.1,204.7,185.3,181.1,175.8,-0.138,-28.2,-0.029,-5.3
Iowa,62.7,64.8,63.5,67.4,68.5,72,73.9,73.1,77.2,78.4,79.3,78.3,79,78.5,80.7,80.7,82.1,87.3,91.1,86,90.3,87.2,81.4,82.4,83.5,77.5,74.1,76.3,0.216,13.6,0.029,2.2
Kansas,69,67.6,65.5,70.7,71.1,68.6,74.1,70.9,70.2,73.9,75.5,71.5,76.4,78.3,75.7,71.8,71.9,79.6,74.4,72.4,72.1,70.2,65.6,69.1,69.4,63.7,61.6,57.9,-0.161,-11.1,-0.06,-3.7
Kentucky,117.5,117.7,121,131.7,129.6,135.1,136.3,140.4,138.3,142.7,143.6,145.5,146.1,142.3,147.9,150,152.3,152.8,150.6,139.9,149.1,147.9,136.8,135.8,137.3,127.8,123,113.6,-0.033,-3.9,-0.077,-9.4
Louisiana,206.5,205.4,213.8,215.9,222.9,223,228.1,235.4,223.5,222.6,241.4,214.3,222.9,219.2,231.9,223.5,233.4,237.3,239.6,222.2,235.3,237.7,225.6,217.5,214.8,217.1,218.6,226.4,0.096,19.9,0.036,7.8
Maine,19,18.5,19.4,18.8,20.2,18.9,19.4,19.6,19.3,20.4,22.2,22.4,23.9,23.5,23.9,23,21.1,20.8,19,18.3,17.9,17.4,15.7,16.4,16.5,16.7,16.3,15.4,-0.189,-3.6,-0.055,-0.9
Maryland,70,68.8,66.8,69,70.1,69.6,71.7,71.9,74.8,77.4,77.2,77.1,77.1,79.9,80.8,82.8,77.8,78.2,74.4,71,69.5,64.8,60.3,59.4,61.4,59.4,57.4,51.6,-0.263,-18.4,-0.101,-5.8
Massachusetts,83.2,81.9,84.1,80.9,81.1,78.4,79.1,85,83.3,81,81.9,82,82.8,84.1,82.6,84,76.2,79.5,76.4,69.8,71.3,67.4,61.3,64.9,63.2,65,63.4,63.3,-0.239,-19.9,-0.001,-0.1
Michigan,179.9,178.4,177.7,177.4,185.1,188,193.3,190.2,190.1,198.5,193.1,189.4,188.6,185.4,188.1,190,179,181.1,175,163.6,164.1,158.7,152.3,160.5,160.5,160.7,150.6,151.8,-0.157,-28.2,0.008,1.2
Minnesota,78.2,78.2,79.9,84.1,85.6,88.4,93.2,90.6,91,91.9,96.9,94.2,96.7,100.7,100.2,101.1,98.5,100.1,99.7,91.7,91.4,91,86.2,88.9,94.1,87.1,88.5,87.9,0.123,9.7,-0.007,-0.6
Mississippi,48.4,48.2,48.3,50.4,50.2,51.6,54.4,55.1,56.3,61.4,60.8,69.7,62.3,63.8,65.5,63.7,65.7,67.8,64.4,60.2,64.9,60,62,60,63.4,64.6,68.1,67.4,0.392,19,-0.011,-0.7
Missouri,102,102.2,101.8,100,107.4,114.7,120.9,124.3,129,129.6,124.6,129.6,130.7,137.5,138.3,141.2,139.4,138.5,135.3,129.4,133.3,133.8,126.3,131.4,131.1,121.8,117,122.4,0.201,20.5,0.046,5.4
Montana,26.9,28.1,29.3,27.2,29.9,29.6,26.7,28.7,30.4,31,30.4,31.6,30,32.2,33.9,34.9,35.1,36.5,35.8,32.3,34.2,31.3,30.1,31.4,31.8,31.8,30.3,30.3,0.126,3.4,-0.001,0
Nebraska,32.8,33.7,32.6,35.8,35.8,38.3,39.5,40.7,42.8,41.7,41.4,42.8,42.3,43.4,43.3,43.7,44.3,44.6,46.7,47.2,49.7,52.1,50.4,53.2,52,50.4,48.3,47.7,0.454,14.9,-0.012,-0.6
Nevada,30.6,32.5,33.6,33.8,36.1,35.2,37.9,37.7,40.5,41.2,45.2,44.6,41.4,43.5,47.7,49.8,41.3,41.5,40.8,39.2,37.3,33.6,34.3,36.1,36.9,34.9,36.3,36.2,0.184,5.6,-0.004,-0.1
New Hampshire,14.7,14.3,14.4,14.9,14.9,15,15.2,16.5,16.6,16.7,17.4,16.9,17.6,20.8,21.9,21.2,19.3,19.1,18.7,17,16.5,16.1,14.5,14.2,14.9,15,13.6,13.4,-0.087,-1.3,-0.017,-0.2
