,State,PRCP_AVG_old,SNOW_AVG_old,TAVG_AVG_old,TMAX_AVG_old,TMIN_AVG_old,PRCP_MAX_old,SNOW_MAX_old,TAVG_MAX_old,TMAX_MAX_old,TMIN_MAX_old,PRCP_MIN_old,SNOW_MIN_old,TAVG_MIN_old,TMAX_MIN_old,TMIN_MIN_old,PRCP_CNT_old,SNOW_CNT_old,PRCP_CHG_old,SNOW_CHG_old,TMAX_CHG_old,TMIN_CHG_old,TAVG_CHG_old,PRCP_AVG,SNOW_AVG,TAVG_AVG,TMAX_AVG,TMIN_AVG,PRCP_MAX,SNOW_MAX,TAVG_MAX,TMAX_MAX,TMIN_MAX,PRCP_MIN,SNOW_MIN,TAVG_MIN,TMAX_MIN,TMIN_MIN,PRCP_CHG,SNOW_CHG,TMAX_CHG,TMIN_CHG,TAVG_CHG,PRCP_CNT,SNOW_CNT,PRCP_max_yoy,SNOW_max_yoy,TMAX_max_yoy,TMIN_max_yoy,TAVG_max_yoy,TAVG_avg_yoy,TMIN_avg_yoy,TMAX_avg_yoy,PRCP_min_yoy,SNOW_min_yoy,TMAX_min_yoy,TMIN_min_yoy,TAVG_min_yoy,PRCP_CNT_yoy,SNOW_CNT_yoy,PRCP_CHG_yoy,SNOW_CHG_yoy,TMAX_CHG_yoy,TMIN_CHG_yoy,TAVG_CHG_yoy,Cluster
0,AK,27.87168195619574,6.0717166125924,2.198398318820444,46.09220836991753,-46.634830535338054,201.35555559999997,75.46363636,366.02586210000004,266.9300412,119.70612240000001,0.0,0.0,-300.65151519999995,-248.3522727,-308.4166667,3652.0,2368.0,201.35555559999997,75.46363636,515.2823139,428.12278910000003,666.6773773,31.83868946200553,5.516208730030944,-6.614046017059429,45.63685044537483,-41.76880534429725,230.0119048,82.44642857,203.78787880000002,267.96934869999995,120.4942085,0.0,0.0,-283.75609760000003,-230.3811475,-308.6680498,230.0119048,82.44642857,498.35049619999995,429.1622583,487.5439764,3650.0,2132.0,28.656349200000022,6.9827922099999995,1.0393074999999499,0.7880860999999868,-162.23798330000002,-8.812444335879873,4.866025191040805,-0.45535792454269597,0.0,0.0,17.97112519999999,-0.2513830999999982,16.895417599999917,-2.0,-236.0,28.656349200000022,6.9827922099999995,-16.93181770000001,1.039469199999985,-179.13340089999997,0
1,AL,39.20288663732081,0.020448636547221465,173.83305866506953,238.34173150587495,110.61439429807139,626.1929825,12.62903226,308.3333333,387.6179775,238.4578313,0.0,0.0,-51.26666667,3.9,-125.16049380000001,3349.0,68.0,626.1929825,12.62903226,383.7179775,363.6183251,359.59999997,42.68995784072308,0.17955572030613362,177.65767615890144,240.99959924256555,115.40552342643795,738.4528302,127.19736840000002,307.2,380.9294118,242.5777778,0.0,0.0,-76.0,-18.46428571,-128.1445783,738.4528302,127.19736840000002,399.39369751000004,370.7223561,383.2,3476.0,111.0,112.25984770000002,114.56833614000001,-6.68856569999997,4.1199464999999975,-1.1333333000000039,3.8246174938319086,4.791129128366563,2.657867736690605,0.0,0.0,-22.364285709999997,-2.9840844999999945,-24.73333333,127.0,43.0,112.25984770000002,114.56833614000001,15.67572001000002,7.10403100000002,23.60000002999999,2
2,AR,36.159018672301926,0.22388948101149742,157.44069632246584,221.69868374184784,100.97427805111334,811.7430555999999,144.796748,315.2142857,407.9456522,243.36263739999998,0.0,0.0,-80.0,-28.65934066,-123.46511629999999,3279.0,237.0,811.7430555999999,144.796748,436.60499286,366.82775369999996,395.2142857,38.78065997769887,0.4019513270147864,155.73942009107603,222.93691543870096,102.96888486636894,950.9512195,119.0,339.8333333,414.4845361,264.89795919999995,0.0,0.0,-131.8,-52.03370787,-153.8651685,950.9512195,119.0,466.51824397,418.7631276999999,471.6333333,3342.0,243.0,139.20816390000005,-25.796748000000008,6.53888390000003,21.535321799999963,24.619047599999988,-1.7012762313898122,1.9946068152555938,1.23823169685312,0.0,0.0,-23.37436721,-30.40005220000002,-51.80000000000001,63.0,6.0,139.20816390000005,-25.796748000000008,29.913251110000033,51.93537399999997,76.4190476,2
3,AZ,9.117758758508323,0.6007593010533803,132.43773345059918,235.1734109144734,77.97201063021049,347.2837838,64.38931298,565.253012,469.7525773,319.4875622,0.0,0.0,-76.22666667,25.88659794,-122.225641,3095.0,715.0,347.2837838,64.38931298,443.86597936,441.7132032,641.47967867,9.862879803690841,1.1883877913518612,124.8804919535789,228.0280613257534,74.27840006030705,353.8653846,192.0422535,278.313253,393.5706522,211.5268293,0.0,0.0,-115.18292679999999,-3.287958115,-141.4467005,353.8653846,192.0422535,396.85861031499996,352.9735298,393.49617979999994,2979.0,674.0,6.5816008000000465,127.65294051999999,-76.1819251,-107.96073290000001,-286.93975900000004,-7.557241497020286,-3.6936105699034414,-7.145349588719995,0.0,0.0,-29.174556055,-19.221059499999996,-38.95626012999999,-116.0,-41.0,6.5816008000000465,127.65294051999999,-47.00736904500002,-88.73967340000002,-247.98349887000006,1
4,CA,16.74775507375445,0.9768095896044348,130.52701168924088,212.0218190665722,72.12963667644927,416.3005618,31.96232877,290.00996680000003,384.0830258,216.29050279999998,0.0,0.0,-40.37288136,41.62,-79.60405157,3469.0,1055.0,416.3005618,31.96232877,342.46302579999997,295.89455437,330.38284816000004,18.651238908919204,1.7602073220177998,130.2802569772222,212.64415683451546,77.34245997134056,420.11678830000005,112.0980392,278.2733813,373.1036585,202.86178859999998,0.0,0.0,-45.29962547,44.46296296,-75.17751479,420.11678830000005,112.0980392,328.64069554,278.03930339,323.57300677,3561.0,1015.0,3.8162265000000275,80.13571043,-10.979367299999979,-13.428714200000002,-11.736585500000047,-0.24675471201868504,5.212823294891294,0.6223377679432645,0.0,0.0,2.8429629600000013,4.426536779999992,-4.926744110000001,92.0,-40.0,3.8162265000000275,80.13571043,-13.822330259999944,-17.855250979999994,-6.809841390000031,0
5,CO,13.317385086812227,4.281294005473579,47.41005242842888,145.4560920084276,-6.199542442011222,314.3797909,312.5051095,325.61290319999995,409.9583333,209.8056426,0.0,0.0,-190.6381579,-101.1676829,-245.11384619999998,3651.0,1996.0,314.3797909,312.5051095,511.1260162,454.91948879999995,516.2510611,13.805290589274374,5.068661581384177,43.01827288371138,140.26296628734065,-7.2554856053176415,318.486685,199.55828219999998,307.9882353,319.052795,192.4201183,0.0,0.0,-232.57364339999998,-152.5210843,-288.5533333,318.486685,199.55828219999998,471.57387930000004,480.97345160000003,540.5618787,3638.0,1924.0,4.106894100000034,-112.94682730000002,-90.90553829999999,-17.385524299999986,-17.624667899999963,-4.391779544717494,-1.0559431633064191,-5.193125721086943,0.0,0.0,-51.35340140000001,-43.439487100000036,-41.93548549999997,-13.0,-72.0,4.106894100000034,-112.94682730000002,-39.55213689999994,26.05396280000008,24.31081759999995,1
6,CT,36.183092577153566,3.115641565565293,100.2835540303703,151.1152327757495,40.32558458103311,798.4705882000001,235.33333330000002,300.0,355.8333333,229.5384615,0.0,0.0,-163.0,-125.5384615,-217.92307689999998,2772.0,589.0,798.4705882000001,235.33333330000002,481.3717948,447.4615384,463.0,35.73811977379408,3.8042204131229465,112.35671807990553,156.73080824317802,45.319069103263104,1136.0,634.4736842,289.85604999148933,358.125,232.4117647,0.0,0.0,-161.27762466085105,-117.2,-245.5,1136.0,634.4736842,475.325,477.9117647,451.13367465234046,2799.0,590.0,337.52941179999993,399.14035089999993,2.2916667000000075,2.873303199999981,-33.82083897234042,0.9359313954235938,4.993484522229991,5.615575467428528,0.0,0.0,8.338461499999994,-27.576923100000016,-14.315347145744688,27.0,1.0,337.52941179999993,399.14035089999993,-6.0467947999999865,30.450226299999997,-19.505491826595744,3
7,DC,39.09806345299258,0.8955681282362093,110.58395700835518,175.4786699008161,52.735224366956174,1476.0,170.0,321.89327562600005,370.05112089400006,232.078302208,0.0,0.0,-148.9928741982,-92.01002471192001,-200.3873213226001,340.0,118.0,1476.0,170.0,462.06114560591993,432.46562353059994,470.88614982419995,29.68308377309272,2.5261492307201787,112.35671807990553,175.623835181734,55.5158429218094,677.0860939760001,193.69649391125998,289.85604999148933,365.433996648,225.99082011400006,0.00054545454,0.0,-161.27762466085105,-106.0702158835,-216.73096723959995,677.0855485214602,193.69649391125998,471.5042125314999,442.7217873536002,451.13367465234046,3368.66,892.6,121.23788447199999,39.593712807200006,-4.617124246,-6.087482094000002,-33.82083897234042,0.9359313954235938,2.7806185548531848,0.14516528091793618,9.090908000000008e-05,0.00786169504,-14.06019117158,-16.343645917,-14.315347145744688,48.66,-31.0,121.23779356291999,39.585851112160015,9.443066925580002,10.256163822999998,-19.505491826595744,2
8,DE,33.59183511691183,1.0218778482669042,136.17847567981616,188.32542202765262,84.82322748411123,1027.0,321.5,600.0,365.6,264.6,0.0,0.0,-102.0,-57.5,-148.8,1876.0,127.0,1027.0,321.5,423.1,413.40000000000003,702.0,34.934668171717334,1.543111741375586,136.25504782146652,193.00928714911836,91.08823932106135,1685.3,391.76470589999997,328.0,385.0,268.6666667,0.0,0.0,-133.0,-89.0,-194.0,1685.3,391.76470589999997,474.0,462.6666667,461.0,2473.0,259.0,658.3,70.26470589999997,19.399999999999977,4.066666699999985,-272.0,0.07657214165035953,6.265011836950123,4.683865121465743,0.0,0.0,-31.5,-45.19999999999999,-31.0,597.0,132.0,658.3,70.26470589999997,50.89999999999998,49.26666669999997,-241.0,3
9,FL,37.215553985160405,0.031173870595401047,219.43331239367626,277.74641030041147,167.5300715854735,536.9404762,4.272727273,302.35714289999993,356.4358974,257.4833333,0.0,0.0,34.92857143,108.17741940000002,-25.1092437,3560.0,39.0,536.9404762,4.272727273,248.25847799999997,282.592577,267.42857146999995,41.402700794410215,0.0002705634312705367,217.95563854571472,281.613310576676,175.4629926248988,1460.044944,0.333333333,296.7692308,357.255814,254.6521739,0.0,0.0,13.78571429,70.66393443,-33.832,1460.044944,0.333333333,286.59187957,288.48417390000003,282.98351651,3609.0,7.0,923.1044678,-3.93939394,0.8199165999999991,-2.8311594000000184,-5.587912099999926,-1.4776738479615403,7.932921039425281,3.8669002762645164,0.0,0.0,-37.51348497000002,-8.7227563,-21.142857139999997,49.0,-32.0,923.1044678,-3.93939394,38.333401570000035,5.891596900000025,15.554945040000064,2
