State,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,% change from 1980 to 1990,% change from 1990 to 2000,% change from 2000 to 2010,% change from 2010 to 2019
Alabama,401100,433243,441436,421546,387007,397274,373344,513833,549845,567205,650869,630791,476767,402501,344829,351975,335757,403416,402633,444465,477155,394183,326109,445504,495718,505556,442053,447146,365828,349146,429919,433174,545107,524189,697615,594901,447998,526919,548185,425155,62.27,-26.69,-9.899508545,-1.108115715
Alaska,491,571,954,1193,993,724,552,848,1251,1388,1137,732,931,922,1213,1389,1410,1962,2765,1924,1722,1472,2279,1216,1822,2477,3014,2316,2185,2140,2908,3037,3485,1797,2368,2357,2368,2393,3900,3935,131.57,51.45,68.87340302,35.31636864
Arizona,635270,560332,506627,535054,540449,468008,461768,526870,553610,483112,529502,548368,612436,621194,479248,467841,428613,497154,483065,548626,654436,704712,659798,757978,779431,825230,785511,741583,679681,638460,691838,883403,943696,880725,1058689,948266,724871,846432,885222,824776,-16.65,23.59,5.715150145,19.215192
Arkansas,364478,435532,411814,312839,379127,341776,330673,461507,591791,617257,689578,680883,514997,515809,519713,470117,418671,536477,433739,472872,594227,579139,530500,522462,665599,758663,613435,611930,590987,517377,701852,715348,722663,654345,861348,769163,553361,597046,543735,509069,89.20,-13.83,18.11176537,-27.46775674
California,1444572,1330401,1562110,1397448,1541504,1349605,1433008,1457460,1678328,1714566,1820130,1759879,1532068,1671059,1468824,1262481,1158997,1383972,1125422,1309130,1315788,1433448,1302336,1653535,1729308,1836636,1751489,1851206,1906059,1677381,2050584,2669221,3227126,3073404,3770789,3233911,2579790,2672878,3216630,3090964,26.00,-27.71,55.84455855,50.73579039
Colorado,2008182,1784124,1787783,1757636,1950001,1836653,1959170,1999493,2296809,2249057,2462004,2239137,2452888,2621003,2412907,2292119,2364862,2494411,2430237,2612368,2946871,2938822,3097480,3333496,3509207,3453930,3551438,3489938,3144373,2753750,3048483,3239187,3797566,3875591,4142383,4235511,3270209,3640746,3600932,3809355,22.60,19.69,3.448131934,24.959037
Connecticut,17893,13201,17009,14049,14931,17660,20453,14924,17610,14913,16522,14816,16656,17912,13686,13114,11785,11502,10996,10306,12696,10865,10689,9968,9107,12410,10212,11363,8577,10231,9256,13496,16193,17839,22451,20431,16675,14259,18052,12229,-7.66,-23.16,-27.09514808,32.11970614
Delaware,7686,9229,9775,9800,10136,9786,15058,16964,13040,8589,16174,10133,9639,14223,10750,7307,10735,12473,10087,11952,12068,12237,9761,6541,10972,10569,10100,10394,10242,7928,8653,7340,9042,10303,8006,9256,7131,9363,11312,10028,110.43,-25.39,-28.29797812,15.89044262
Florida,400249,426855,358531,395481,400221,352197,296296,411433,405376,378996,404349,380784,362616,376401,348328,299558,234454,332885,297080,315721,375001,369182,338336,352697,458219,506910,479531,452694,408350,378929,500397,492615,637307,649563,871483,872102,548324,587763,513192,477299,1.02,-7.26,33.43884416,-4.615934948
Georgia,403643,506564,493283,483197,410583,421444,419316,503401,476600,453853,490732,482318,436135,455857,430987,413235,359931,462762,327303,350362,438655,436389,323035,397631,480626,439700,374996,360318,359906,350966,370677,423552,477304,448073,613273,522947,406732,414789,377869,337639,21.58,-10.61,-15.49691671,-8.912881026
Hawaii,35531,36787,36084,37083,36189,34627,33415,35910,36365,39394,35987,36576,35842,33480,24851,22206,19988,19454,22324,22106,25433,23864,23114,21537,26997,27100,30610,29878,27664,31945,34553,49003,54855,52962,66416,62618,44509,42591,46468,42984,1.28,-29.33,35.85892345,24.4001968
Idaho,600953,669009,510599,545556,573300,534281,556538,588329,687901,682166,749418,681177,715919,695782,678236,663446,604474,691624,674778,699751,781799,937601,1000293,1096321,1094342,1092621,1044260,1129849,1153718,983717,1204900,1394302,1435735,1875898,2071997,1978530,1725292,1657593,1741773,1752601,24.70,4.32,54.11889757,45.45613744
Illinois,1927607,1789762,1950483,1874756,1773394,1668363,1770998,1853637,1936572,1799475,2013275,1914944,1754414,1913789,1651916,1508438,1597919,1527118,1160285,1110255,1322758,1443975,1218193,1445978,1537776,1573939,1431675,1574348,1553420,1433725,1775869,2009653,2004026,2184491,2547500,1943501,1836966,2059460,1813096,2045874,4.44,-34.30,34.25501868,15.20410571
Indiana,1124461,1108555,1131712,1177230,1046559,1014557,1105140,1193050,1084607,1004046,1219609,1137127,1057690,1156947,988657,998604,1015517,1077352,752021,716416,822230,880886,706476,846160,955240,1010216,989430,1060830,1170820,1052517,1296420,1459168,1562472,1497001,1748781,1524952,1389863,1618882,1551216,1632714,8.46,-32.58,57.67121122,25.94020456
Iowa,4870310,4978910,5225969,4585067,4388493,4143281,4299181,4630955,4430352,4474422,5308929,4848154,4900429,5011148,4401595,4324561,4448518,4751130,3823242,3872183,5005704,4968120,4257354,4966702,5934537,6730355,6592185,6867851,7624857,6853217,8316887,10029037,10714498,11897639,13791715,11550514,10316558,11192734,11684474,11702739,9.01,-5.71,66.14819814,40.71056875
Kansas,3161426,3130088,3057249,2948791,3396071,3119383,3254962,3861086,4155836,4218647,4752676,4561714,4590655,4666453,4560819,4328726,4308052,4712541,4283432,4754253,5265204,5215466,5043395,5875160,6029016,6495118,6626465,6731911,6638799,5910565,7019784,8215084,8397319,8282544,9657385,9309309,8337784,8875889,8804729,8939741,50.33,10.78,33.32406494,27.35065637
Kentucky,724846,603262,516741,572914,536790,534759,553897,649763,672419,801192,864136,920847,830657,919060,782470,669653,637259,788333,702889,633135,630469,594103,486223,612280,725565,658259,687042,697141,656347,558828,722595,751048,761267,963516,1141386,1034519,830263,858131,859860,806362,19.22,-27.04,14.61229656,11.59252417
Louisiana,175772,154517,194906,182590,148540,180163,178617,199068,263732,203279,211885,227585,168823,212836,166022,129111,116236,151426,158149,154810,196260,181473,159194,180451,208555,235355,197833,195711,192723,190115,196113,230442,270650,248244,346753,369661,219088,212196,237185,204926,20.55,-7.37,-0.074900642,4.493837736
Maine,16565,11916,24050,19273,24099,22379,22176,22605,24887,18174,22778,27956,21344,29001,26684,18155,14535,18989,17785,18477,18595,18308,18402,17650,17944,17676,20126,14595,14358,11611,11882,8194,21773,22779,28974,34138,18391,23879,21603,17725,37.51,-18.36,-36.10110245,49.17522303
Maryland,87060,87173,100959,92939,110208,108033,101472,100619,97842,98751,112062,108341,84417,109468,82057,77605,61577,80131,70735,70341,76125,68916,74119,89133,86685,89322,91596,86466,73233,58997,72861,75847,128665,110321,104932,104021,85590,68656,75821,97537,28.72,-32.07,-4.287684729,33.86722664
Massachusetts,19073,16811,12636,14705,12200,10821,15971,17260,9874,11537,13241,16033,14194,15068,12589,10560,9980,9172,9073,8025,12887,8971,8010,8476,9053,10112,10680,8161,9470,5552,8145,8992,14067,14797,16758,16162,11101,10999,11408,12384,-30.58,-2.67,-36.79677194,52.0441989
Michigan,384805,315682,371055,419478,456411,413184,439205,515741,465797,472072,538923,504795,456808,506225,495246,469438,459383,450206,338313,387946,458683,442850,371705,384648,524881,512088,503763,580497,632953,515941,700808,850889,829767,947839,1076623,978264,834148,948571,863000,877300,40.05,-14.89,52.78700104,25.18407324
Minnesota,1793738,1754436,1868113,1592257,1623827,1818455,1718438,1944070,1866441,1818455,1901749,1888903,1837179,2063201,1712187,1748576,1999763,2086183,1714621,1618071,2117684,2357601,1913037,2268780,2722513,2842914,2707132,2979454,3139796,2921315,3498292,3906909,4259260,4527794,5738435,4559474,4143513,4614955,4578859,4719001,6.02,11.35,65.1942405,34.89
