,Year,State,TMAX_AVG,Population,meat_consumption,co2_emission,petroleum_emission,natural_gas_emission,electricity_emission,coal_emission,coal_consumption,natural_gas_consumption,petroleum_consumption
0,1990,AK,52.138420253389015,553120.0,1137.0,34.4,16.0,17.3,2.6,1.2,269914.0,28509965.333333332,480918.5
1,1990,AL,252.5026959256987,4048508.0,650869.0,109.7,31.9,13.3,51.4,64.8,11121176.5,5200895.0,166583.33333333334
2,1990,AR,232.8657497741369,2354343.0,689578.0,50.8,18.3,12.4,21.5,20.2,7909596.666666667,23923176.0,84549.0
3,1990,AZ,235.97671543566028,3679056.0,529502.0,62.7,23.3,6.9,32.8,32.7,10599277.333333334,12471202.5,129110.0
4,1990,CA,209.83716930817798,29950111.0,1820130.0,356.6,238.4,111.3,40.4,8.0,625566.5,222595215.33333334,3096320.6666666665
5,1990,CO,138.99785210246577,3303862.0,2462004.0,65.8,20.8,13.1,31.3,32.1,10679529.333333334,4960580.4,36111.333333333336
6,1990,CT,165.06023520964658,3289056.0,16522.0,40.6,31.3,5.8,11.4,3.7,970001.3333333334,4480472.0,5806261.6
7,1990,DE,203.21506849315068,669063.0,16174.0,16.6,8.9,2.1,7.6,5.7,1457535.3333333333,7202120.666666667,2844293.3333333335
8,1990,FL,293.66922485780833,13018365.0,404349.0,187.8,110.0,18.0,87.6,60.3,12229368.0,80230475.6,13800640.333333334
9,1990,GA,255.72546289312336,6506531.0,490732.0,138.8,54.4,16.9,62.8,67.9,18819188.666666668,3066866.0,408636.4
10,1990,HI,262.13497236684935,1112703.0,35987.0,21.6,21.4,0.1,7.6,0.1,1342.0,0.0,6413304.8
11,1990,IA,158.56255218921646,2779769.0,5308929.0,62.7,19.4,11.7,26.5,31.8,6368874.4,1777320.3333333333,53652.4
12,1990,ID,133.75743645198358,1011882.0,749418.0,11.3,7.9,2.5,0.0,1.0,30719.0,733221.0,1550.0
13,1990,IL,177.0862238245863,11446979.0,2013275.0,190.8,69.5,50.8,57.8,71.1,18688673.333333332,7128906.8,862230.0
14,1990,IN,173.5957844258767,5555097.0,1219609.0,204.1,51.3,24.2,96.9,129.2,24049512.0,8454104.5,881531.5
15,1990,KS,203.49280191719717,2480683.0,4752676.0,69.0,24.7,18.7,27.0,25.9,15017606.0,19916516.666666668,141048.66666666666
16,1990,KY,207.21302218006574,3692584.0,864136.0,117.5,31.4,10.1,67.9,76.4,30867075.0,282503.0,212140.0
17,1990,LA,258.54972254802755,4219179.0,211885.0,206.5,99.6,87.7,34.4,19.9,7851647.333333333,128269783.0,154714.8
18,1990,MA,158.27704143318084,6018664.0,13241.0,83.2,58.1,14.5,25.8,10.8,2119089.5,21032023.333333332,8291800.666666667
19,1990,MD,197.6676619783288,4797431.0,112062.0,70.0,33.5,9.6,26.5,27.2,4523634.0,9790175.5,2896463.6
20,1990,ME,121.91233782257267,1231296.0,22778.0,19.0,17.8,0.2,2.1,1.0,104986.0,530090.6666666666,1747525.6666666667
21,1990,MI,135.69676854588226,9310462.0,538923.0,179.9,58.0,47.6,67.5,74.9,12263211.2,30495968.666666668,686546.8
22,1990,MN,129.3215280392547,4387283.0,1901749.0,78.2,32.1,15.4,29.2,31.0,11462103.333333334,2878540.4,414798.5
23,1990,MO,200.5180725665562,5126370.0,1491635.0,102.0,38.2,12.7,48.2,51.3,12194915.5,1972259.0,108046.0
24,1990,MS,249.11488837090405,2577426.0,304184.0,48.4,24.8,13.9,13.5,9.9,2608567.3333333335,48690898.0,856800.0
25,1990,MT,130.2500658890767,799824.0,772430.0,26.9,8.6,2.3,15.6,16.1,6381701.333333333,391912.6666666667,44410.666666666664
26,1990,NC,224.43332059104128,6656987.0,781013.0,110.7,48.2,8.8,46.9,54.0,9700529.0,1171544.8,345271.0
27,1990,ND,132.39900578064103,637364.0,482171.0,44.5,7.3,1.8,27.3,35.6,14421052.0,392588.0,60536.666666666664
28,1990,NE,176.21252808203283,1580664.0,5788540.0,32.8,13.6,5.8,13.3,13.5,5351897.333333333,2511832.0,31360.0
29,1990,NH,142.81648509536427,1111831.0,7463.0,14.7,10.9,0.8,4.9,3.0,1146343.0,0.0,1643639.2
30,1990,NJ,183.61968166812608,7757158.0,17343.0,108.1,76.5,24.2,12.3,7.7,2739640.0,24159671.0,1305082.0
31,1990,NM,197.36462398542466,1519933.0,769339.0,53.0,13.6,13.3,27.6,26.2,15064983.0,11827409.2,47460.0
32,1990,NV,169.83647100992604,1218629.0,140495.0,30.6,11.4,3.5,16.9,15.7,7269557.0,24348267.0,535063.0
33,1990,NY,149.3396750265041,18002855.0,195714.0,206.6,126.7,47.4,64.5,33.2,4211101.6,78753470.66666667,22218713.2
34,1990,OH,171.39265784246564,10861837.0,803964.0,244.3,68.6,41.1,110.9,135.4,24572653.5,1444498.0,369094.5
35,1990,OK,231.8134423557122,3147105.0,1886065.0,87.2,27.6,33.3,35.1,26.5,7549060.5,71461182.4,76056.0
36,1990,OR,150.49917078424113,2858547.0,418966.0,30.0,22.7,5.9,1.8,1.5,576964.6666666666,5039029.333333333,39295.333333333336
37,1990,PA,169.7762138626083,11895604.0,625612.0,262.0,87.4,36.0,105.9,139.3,15165727.333333334,10969547.2,3114367.3333333335
38,1990,RI,166.84109589041097,1004649.0,1774.0,8.8,6.7,2.1,0.7,0.0,0.0,3590559.2,317326.0
39,1990,SC,249.91986138241103,3499064.0,255526.0,60.3,25.9,7.1,22.4,27.5,6277901.333333333,3908716.5,172899.5
40,1990,SD,157.167215716474,696667.0,1696546.0,11.8,7.2,1.3,3.0,3.3,2344979.0,235402.0,32076.0
41,1990,TN,218.6059791835974,4890626.0,595187.0,104.1,35.3,12.0,47.6,57.1,10672775.5,1406822.5,157778.0
42,1990,TX,258.5116379454521,17044714.0,6015070.0,604.8,274.3,205.4,183.8,126.9,59635313.333333336,523459016.0,1436980.0
43,1990,UT,151.6374369744301,1729722.0,296962.0,54.0,12.6,6.7,29.8,34.8,9042860.666666666,814462.0,43910.5
44,1990,VA,208.70650662053148,6213526.0,492305.0,94.6,51.1,10.1,23.5,33.7,3821122.4,4963442.0,1135814.0
45,1990,VT,130.53327559611768,564526.0,54042.0,5.5,5.1,0.4,0.0,0.0,0.0,685267.0,7683.0
46,1990,WA,134.99294543103284,4900780.0,601672.0,65.9,49.1,8.9,7.5,8.1,2439542.5,2065588.0,85522.0
47,1990,WI,134.4424786338603,4902265.0,1115112.0,85.4,31.7,16.5,33.2,37.5,7451554.4,1865321.6,196142.0
48,1990,WV,186.23860604059718,1792481.0,117839.0,103.0,13.6,6.8,71.0,83.0,20128354.666666668,564006.6666666666,300622.0
49,1990,WY,117.61579444999741,453401.0,579049.0,56.7,7.8,5.3,39.6,43.7,15789332.666666666,1898313.3333333333,69058.66666666667
50,1991,AK,56.33025394464384,569273.0,732.0,35.0,14.5,19.5,2.5,1.2,294487.3333333333,19761771.0,483894.0
51,1991,AL,238.47013822605496,4091025.0,630791.0,114.0,31.7,13.8,55.4,68.8,11965899.0,6484098.5,208921.33333333334
52,1991,AR,224.66289546889033,2370666.0,680883.0,49.7,18.0,11.3,21.5,20.6,8005874.0,19567630.0,67386.5
53,1991,AZ,232.0025062723561,3762394.0,548368.0,63.6,23.9,6.8,33.1,33.1,10833009.333333334,11891622.5,97651.0
54,1991,CA,209.79922056112332,30414114.0,1759879.0,344.1,219.8,117.0,38.0,8.5,626565.0,224233758.66666666,1119209.3333333333
55,1991,CO,136.485041878348,3367567.0,2239137.0,67.1,21.2,14.6,30.6,31.5,10361960.0,5155477.6,54598.0
